index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1783,La Tyre Madiran 2002,France,Madiran,Château Montus,Red wine,Tannat,https://images.vivino.com/thumbs/WPffzob1TWarqa4DXLBBGA_pb_x600.png,92.5,87.3484,33.936,83.6645,oaky,black fruit,earthy
1784,Margaux (Grand Cru Classé) 1993,France,Margaux,Château Brane-Cantenac,Red wine,Blend,https://images.vivino.com/thumbs/dT5ZT8UHRh2pgYA_uztfgA_pb_x600.png,68.3144,70.1936,14.43793,78.1274,oaky,black fruit,earthy
1785,Pessac-Léognan (Grand Cru Classé de Graves) 1982,France,Pessac-Léognan,Château de Fieuzal,Red wine,Blend,https://images.vivino.com/thumbs/zGUxvkxFQiq1ds-gUfeZww_pb_x600.png,80.4617,81.9603,16.63856,79.321,oaky,black fruit,earthy
1786,Les Forts de Latour Pauillac 1970,France,Pauillac,Château Latour,Red wine,Blend,https://images.vivino.com/thumbs/iPJbOceNQRKoP-yIA0dNJA_pb_x600.png,79.4019,77.1514,16.391,78.929,black fruit,oaky,earthy
1787,Fumin 2021,Italy,Valle d'Aosta,Les Crêtes,Red wine,Fumin,https://images.vivino.com/thumbs/s6DWKM2TScG9d8EfDM0g8g_pb_x600.png,65.04310000000001,51.0667,19.3619,49.5765,oaky,red fruit,black fruit
1788,Colli Della Toscana Centrale Cignale 2006,Italy,Colli della Toscana Centrale,Castello di Querceto,Red wine,Blend,https://images.vivino.com/thumbs/fV9CLxEbQZ6QF_i7j1Ud3Q_pb_x600.png,60.054,51.2922,15.36622,55.7469,oaky,black fruit,earthy
1789,Alpilles Rouge 1995,France,Alpilles,Domaine de Trévallon,Red wine,Blend,https://images.vivino.com/thumbs/Nsc9RXDOQnihxD0hvLXEPA_pb_x600.png,53.0187,50.9565,26.8937,53.8251,earthy,black fruit,red fruit
1790,Saint-Estèphe 1986,France,Saint-Estèphe,Château Haut-Marbuzet,Red wine,Blend,https://images.vivino.com/thumbs/gbS3MXGxTSe2CSad0bcueQ_pb_x600.png,80.4474,80.2104,16.45868,79.4636,oaky,black fruit,earthy
1791,Ermitage Les Greffieux 2009,France,Hermitage,M. Chapoutier,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/smnZMD2ORk-ID4Ln_0jSRA_pb_x600.png,92.5,75.9656,22.398699999999998,62.8386,black fruit,earthy,oaky
1792,Châteauneuf-du-Pape Cuvée de La Reine Jeanne 2005,France,Châteauneuf-du-Pape,Ogier,Red wine,Blend,https://images.vivino.com/thumbs/-PW4yQ9sS1aXhkwaow1kiA_150x200.jpg,82.3469,43.1122,13.62245,39.7959,earthy,oaky,floral
1793,Cabernet Sauvignon Reserva 2008,Chile,Maipo Valley,Terra Andina,Red wine,Cabernet Sauvignon,https://images.vivino.com/thumbs/1333558901_292_150x200.jpg,80.5866,56.9179,10.54255,53.7819,oaky,black fruit,dried fruit
1794,Mamre Brook Shiraz 2006,Australia,Barossa,Saltram,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/Dhce6IDCTc6OW8J9XWwS6g_pb_x600.png,91.3174,52.892,23.1729,50.1788,oaky,black fruit,earthy
1795,Barrel Selection Cabernet Sauvignon - Carménère - Petit Verdot 2009,Chile,Maule Valley,Aromo,Red wine,Blend,https://images.vivino.com/thumbs/13ct_3wkSFml9cckpKe2MA_pb_x600.png,87.6244,58.7406,25.7329,50.8535,oaky,red fruit,earthy
1796,Tempranillo 2008,Spain,Valencia,The Tapas Wine Collection,Red wine,Tempranillo,https://images.vivino.com/thumbs/YAvi8ubuTPWgsL9-7xe3hw_pb_x600.png,83.9091,66.2659,15.20396,44.4796,black fruit,red fruit,oaky
1797,Castello di Poppiano Chianti Colli Fiorentini Riserva 2011,Italy,Chianti Colli Fiorentini,Conte Ferdinando Guicciardini,Red wine,Blend,https://images.vivino.com/thumbs/W3wyQSv9SdqAwwzGJ1qe-w_pb_x600.png,55.5048,64.201,12.47408,68.451,oaky,black fruit,red fruit
1798,Margaux (Grand Cru Classé) 1982,France,Margaux,Château Marquis de Terme,Red wine,Blend,https://images.vivino.com/thumbs/gN4iGIP1QiecSeKYgWo8AA_pb_x600.png,69.9264,71.07169999999999,15.338000000000001,78.1336,oaky,black fruit,earthy
1799,PF Shiraz 2019,Australia,McLaren Vale,Yangarra,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/Kwvdmdb2T9akoc0F_GfM9w_pb_x600.png,85.7366,53.6367,30.1101,50.8603,black fruit,oaky,red fruit
1800,Bannockburn Vineyard Pinot Noir 2016,New Zealand,Central Otago,Valli,Red wine,Pinot Noir,https://images.vivino.com/thumbs/migzs7rMT9e6_a7ovU2Ubg_pb_x600.png,33.9675,31.9308,18.063299999999998,69.02600000000001,red fruit,oaky,earthy
1801,Cornish Point Pinot Noir 2021,New Zealand,Central Otago,Felton Road,Red wine,Pinot Noir,https://images.vivino.com/thumbs/jTWj2HHHQVyjPwkWNFuDlA_pb_x600.png,33.8173,29.2326,21.516,68.88550000000001,red fruit,oaky,earthy
1802,The Procrastinator 2013,Australia,McLaren Vale,Chalk Hill,Red wine,Blend,https://images.vivino.com/thumbs/4ncHZCOKQ8aaMYiFSPuZtw_150x200.jpg,87.5,62.5,12.5,50.0,oaky,earthy,black fruit
1803,Saint-Estèphe (Grand Cru Classé) 1979,France,Saint-Estèphe,Château Calon-Ségur,Red wine,Blend,https://images.vivino.com/thumbs/fmI0LPDNRKCvTFUurToCAQ_pb_x600.png,79.0322,80.6135,15.74776,80.5756,oaky,earthy,black fruit
1804,Dolcetto d'Alba Classici 2022,Italy,Dolcetto d'Alba,Prunotto,Red wine,Dolcetto,https://images.vivino.com/thumbs/vLhq3pe1TAi5_2ux9mqkAQ_pb_x600.png,65.2551,44.8932,28.58,40.3193,red fruit,black fruit,oaky
1805,Cabernet Sauvignon 2008,Australia,McLaren Vale,Alpha Crucis,Red wine,Cabernet Sauvignon,https://images.vivino.com/thumbs/DSNRSbTwTUCF5jGXgET-FQ_pb_x600.png,77.203,63.9544,17.524900000000002,60.6561,oaky,black fruit,spices
1806,Côtes du Rhône Premier Terroir 2020,France,Côtes-du-Rhône,Château Beauchene,Red wine,Grenache,https://images.vivino.com/thumbs/jPMjG2BBTw2KvTGsDjg2KA_pb_x600.png,73.1911,55.3582,16.79215,59.8367,black fruit,earthy,spices
1807,Viña Hermosa Seleccion 2017,Spain,Rioja,Santalba,Red wine,Tempranillo,https://images.vivino.com/thumbs/SmOqpnwMSSKmgBzEBDCdFg_150x200.jpg,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
